Level,Code,Class title,Element Type Label English,Element Description English
4,1001101,"Division No. 1, Subd. V",Place name(s),Back Shore 
4,1001101,"Division No. 1, Subd. V",Place name(s),Biscay Bay 
4,1001101,"Division No. 1, Subd. V",Place name(s),Cape Race 
4,1001101,"Division No. 1, Subd. V",Place name(s),Daniel's Point 
4,1001101,"Division No. 1, Subd. V",Place name(s),"Division No. 1, Subd. V "
4,1001101,"Division No. 1, Subd. V",Place name(s),Drook 
4,1001101,"Division No. 1, Subd. V",Place name(s),East Landing 
4,1001101,"Division No. 1, Subd. V",Place name(s),Halfway Tucks 
4,1001101,"Division No. 1, Subd. V",Place name(s),Long Beach 
4,1001101,"Division No. 1, Subd. V",Place name(s),Scrape Shore 
4,1001101,"Division No. 1, Subd. V",Place name(s),St. Shores 
4,1001101,"Division No. 1, Subd. V",Place name(s),Stage Shore 
4,1001101,"Division No. 1, Subd. V",Place name(s),Tartan Lane 
4,1001101,"Division No. 1, Subd. V",Place name(s),West Landing 
4,1001105,Portugal Cove South,Place name(s),Portugal Cove South 
4,1001113,Trepassey,Place name(s),Daniel's Point 
4,1001113,Trepassey,Place name(s),Lower Coast 
4,1001113,Trepassey,Place name(s),Riverhead 
4,1001113,Trepassey,Place name(s),Shoal Point 
4,1001113,Trepassey,Place name(s),Trepassey 
4,1001113,Trepassey,Place name(s),Valna Fad 
4,1001120,St. Shott's,Place name(s),St. Shotts 
4,1001120,St. Shott's,Place name(s),St. Shott's 
4,1001124,"Division No. 1, Subd. U",Place name(s),Admiral's Cove 
4,1001124,"Division No. 1, Subd. U",Place name(s),Bauline South 
4,1001124,"Division No. 1, Subd. U",Place name(s),Brigus South 
4,1001124,"Division No. 1, Subd. U",Place name(s),Burnt Cove 
4,1001124,"Division No. 1, Subd. U",Place name(s),"Burnt Cove, St. Michael's, Bauline South "
4,1001124,"Division No. 1, Subd. U",Place name(s),Burnt Cove-St. Michael's-Bauline East 
4,1001124,"Division No. 1, Subd. U",Place name(s),Calvert 
4,1001124,"Division No. 1, Subd. U",Place name(s),Devils Kitchen 
4,1001124,"Division No. 1, Subd. U",Place name(s),"Division No. 1, Subd. U "
4,1001124,"Division No. 1, Subd. U",Place name(s),Flat Rock 
4,1001124,"Division No. 1, Subd. U",Place name(s),La Manche 
4,1001124,"Division No. 1, Subd. U",Place name(s),Mobile 
4,1001124,"Division No. 1, Subd. U",Place name(s),Seal Cove 
4,1001124,"Division No. 1, Subd. U",Place name(s),St. Michaels 
4,1001124,"Division No. 1, Subd. U",Place name(s),Tors Cove 
4,1001126,Cape Broyle,Place name(s),Cape Broyle 
4,1001126,Cape Broyle,Place name(s),Shore's Cove 
4,1001131,Renews-Cappahayden,Place name(s),Cappahayden 
4,1001131,Renews-Cappahayden,Place name(s),Freshwater 
4,1001131,Renews-Cappahayden,Place name(s),Gripes Nest 
4,1001131,Renews-Cappahayden,Place name(s),Path End 
4,1001131,Renews-Cappahayden,Place name(s),Renews 
4,1001131,Renews-Cappahayden,Place name(s),Renews-Cappahayden 
4,1001136,Fermeuse,Place name(s),Fermeuse 
4,1001136,Fermeuse,Place name(s),Kingman's 
4,1001136,Fermeuse,Place name(s),North Side 
4,1001136,Fermeuse,Place name(s),Riverhead 
4,1001140,Port Kirwan,Place name(s),Port Kirwan 
4,1001144,Aquaforte,Place name(s),Aquaforte 
