Level,Hierarchical structure,Code,Class title
1,Geographical region of Canada,1,Atlantic
2,Province and territory,10,Newfoundland and Labrador
3,Census division,1001,Division No. 1
4,Census subdivision,1001101,"Division No. 1, Subd. V"
4,Census subdivision,1001105,Portugal Cove South
4,Census subdivision,1001113,Trepassey
4,Census subdivision,1001120,St. Shott's
4,Census subdivision,1001124,"Division No. 1, Subd. U"
4,Census subdivision,1001126,Cape Broyle
4,Census subdivision,1001131,Renews-Cappahayden
4,Census subdivision,1001136,Fermeuse
4,Census subdivision,1001140,Port Kirwan
4,Census subdivision,1001144,Aquaforte
4,Census subdivision,1001149,Ferryland
4,Census subdivision,1001155,"Division No. 1, Subd. W"
4,Census subdivision,1001169,St. Vincent's-St. Stephen's-Peter's River
4,Census subdivision,1001174,Gaskiers-Point La Haye
4,Census subdivision,1001178,St. Mary's
4,Census subdivision,1001181,Riverhead
4,Census subdivision,1001186,Admirals Beach
4,Census subdivision,1001192,St. Joseph's
4,Census subdivision,1001197,Mount Carmel-Mitchells Brook-St. Catherine's
4,Census subdivision,1001203,"Division No. 1, Subd. X"
4,Census subdivision,1001207,Colinet
4,Census subdivision,1001214,"Division No. 1, Subd. C"
4,Census subdivision,1001219,Branch
4,Census subdivision,1001225,Point Lance
4,Census subdivision,1001228,St. Bride's
4,Census subdivision,1001234,"Division No. 1, Subd. B"
4,Census subdivision,1001240,Placentia
4,Census subdivision,1001254,Fox Harbour
4,Census subdivision,1001259,"Division No. 1, Subd. A"
4,Census subdivision,1001263,Long Harbour-Mount Arlington Heights
4,Census subdivision,1001267,Southern Harbour
4,Census subdivision,1001270,Arnold's Cove
4,Census subdivision,1001274,Come By Chance
4,Census subdivision,1001277,Sunnyside
4,Census subdivision,1001281,Chance Cove
4,Census subdivision,1001285,Norman's Cove-Long Cove
4,Census subdivision,1001289,Chapel Arm
4,Census subdivision,1001293,"Division No. 1, Subd. Y"
4,Census subdivision,1001298,Whitbourne
4,Census subdivision,1001304,"Division No. 1, Subd. E"
4,Census subdivision,1001308,Whiteway
4,Census subdivision,1001312,Heart's Delight-Islington
4,Census subdivision,1001316,Heart's Desire
4,Census subdivision,1001321,"Division No. 1, Subd. F"
4,Census subdivision,1001325,Heart's Content
4,Census subdivision,1001328,New Perlican
4,Census subdivision,1001332,Winterton
4,Census subdivision,1001335,Hant's Harbour
4,Census subdivision,1001339,"Division No. 1, Subd. G"
4,Census subdivision,1001343,Old Perlican
4,Census subdivision,1001347,Bay de Verde
4,Census subdivision,1001352,Small Point-Adam's Cove-Blackhead-Broad Cove
4,Census subdivision,1001357,"Division No. 1, Subd. H"
4,Census subdivision,1001361,Salmon Cove
4,Census subdivision,1001365,Victoria
4,Census subdivision,1001370,Carbonear
4,Census subdivision,1001374,"Division No. 1, Subd. I"
4,Census subdivision,1001375,Bryant's Cove
4,Census subdivision,1001379,Harbour Grace
4,Census subdivision,1001385,Upper Island Cove
4,Census subdivision,1001391,"Division No. 1, Subd. J"
4,Census subdivision,1001394,Bishop's Cove
4,Census subdivision,1001396,Spaniard's Bay
4,Census subdivision,1001405,"Division No. 1, Subd. K"
4,Census subdivision,1001409,Bay Roberts
4,Census subdivision,1001415,"Division No. 1, Subd. L"
4,Census subdivision,1001421,"Division No. 1, Subd. M"
4,Census subdivision,1001426,North River
4,Census subdivision,1001429,Clarke's Beach
4,Census subdivision,1001434,South River
4,Census subdivision,1001437,Cupids
4,Census subdivision,1001441,"Division No. 1, Subd. N"
4,Census subdivision,1001446,Brigus
4,Census subdivision,1001452,"Division No. 1, Subd. O"
4,Census subdivision,1001456,Colliers
4,Census subdivision,1001461,Conception Harbour
4,Census subdivision,1001464,Avondale
4,Census subdivision,1001469,Harbour Main-Chapel's Cove-Lakeview
4,Census subdivision,1001472,Holyrood
4,Census subdivision,1001485,Conception Bay South
4,Census subdivision,1001490,"Division No. 1, Subd. R"
4,Census subdivision,1001494,Wabana
4,Census subdivision,1001504,Portugal Cove-St. Philip's
4,Census subdivision,1001505,Pouch Cove
4,Census subdivision,1001507,Flatrock
4,Census subdivision,1001509,Torbay
4,Census subdivision,1001511,Logy Bay-Middle Cove-Outer Cove
4,Census subdivision,1001512,Bauline
4,Census subdivision,1001517,Paradise
4,Census subdivision,1001519,St. John's
4,Census subdivision,1001542,Mount Pearl
4,Census subdivision,1001551,Petty Harbour-Maddox Cove
4,Census subdivision,1001557,Bay Bulls
4,Census subdivision,1001559,Witless Bay
4,Census subdivision,1001565,"Division No. 1, Subd. D"
3,Census division,1002,Division No. 2
4,Census subdivision,1002001,"Division No. 2, Subd. E"
4,Census subdivision,1002002,Lewin's Cove
4,Census subdivision,1002005,Burin
4,Census subdivision,1002006,"Division No. 2, Subd. F"
4,Census subdivision,1002008,St. Lawrence
4,Census subdivision,1002009,"Division No. 2, Subd. G"
4,Census subdivision,1002011,Lawn
4,Census subdivision,1002012,Lamaline
4,Census subdivision,1002013,Lord's Cove
4,Census subdivision,1002014,Point May
4,Census subdivision,1002015,Point au Gaul
4,Census subdivision,1002016,"Division No. 2, Subd. H"
4,Census subdivision,1002017,Frenchman's Cove
4,Census subdivision,1002018,Fortune
4,Census subdivision,1002019,Grand Bank
4,Census subdivision,1002021,Garnish
4,Census subdivision,1002022,"Division No. 2, Subd. D"
4,Census subdivision,1002023,Winterland
4,Census subdivision,1002024,Marystown
4,Census subdivision,1002025,Fox Cove-Mortier
4,Census subdivision,1002026,"Division No. 2, Subd. I"
4,Census subdivision,1002027,Bay L'Argent
4,Census subdivision,1002029,"Division No. 2, Subd. J"
4,Census subdivision,1002030,Grand le Pierre
4,Census subdivision,1002031,"Division No. 2, Subd. C"
4,Census subdivision,1002033,Rushoon
4,Census subdivision,1002034,Parkers Cove
4,Census subdivision,1002036,Terrenceville
4,Census subdivision,1002037,Red Harbour
4,Census subdivision,1002039,English Harbour East
4,Census subdivision,1002040,Baine Harbour
4,Census subdivision,1002041,St. Bernard's-Jacques Fontaine
4,Census subdivision,1002044,"Division No. 2, Subd. L"
4,Census subdivision,1002048,"Division No. 2, Subd. K"
4,Census subdivision,1002055,Little Bay East
3,Census division,1003,Division No. 3
4,Census subdivision,1003001,"Division No. 3, Subd. A"
4,Census subdivision,1003002,Rencontre East
4,Census subdivision,1003003,St. Jacques-Coomb's Cove
4,Census subdivision,1003004,Belleoram
